page,elo,tlo,pid,type,name
2,7,7,58384,Page,Navigation Radar Simulation
0,8,7,,ELO,Navigation Sonar
1,8,7,52532,Page,Navigation Sonar Overview
2,8,7,58385,Page,Navigation Sonar Simulation
0,9,7,,ELO,Checks On Learning
1,9,7,52535,Page,Question 1 of 11
2,9,7,52536,Page,Question 2 of 11
3,9,7,52537,Page,Question 3 of 11
4,9,7,52538,Page,Question 4 of 11
5,9,7,52539,Page,Question 5 of 11
6,9,7,52540,Page,Question 6 of 11
7,9,7,52541,Page,Question 7 of 11
8,9,7,52542,Page,Question 8 of 11
9,9,7,52543,Page,Question 9 of 11
10,9,7,52544,Page,Question 10 of 11
11,9,7,52545,Page,Question 11 of 11
0,0,8,,TLO,Pre-Start Procedures and PMCS
0,1,8,52546,Page,Pre-Start Procedures and PMCS
0,2,8,,ELO,Pre-Start Procedures and PMCS Learning Objectives
1,2,8,52547,Page,Pre-Start Procedures and PMCS Learning Objectives
0,3,8,,ELO,Pre-Start Procedures
1,3,8,52548,Page,Pre-Start Procedures
0,4,8,,ELO,Preventative Maintenance Checks and Services (PMCS) 
1,4,8,52583,Page,Preventative Maintenance Checks and Services (PMCS) 
0,5,8,,ELO,Fluid Leaks
1,5,8,52587,Page,Fluid Leaks
0,6,8,,ELO,Checks On Learning
1,6,8,52550,Page,Question 1 of 2
2,6,8,52549,Page,Question 2 of 2
0,0,9,,TLO,Starting and Shutting Down
0,1,9,52551,Page,Starting and Shutting Down
0,2,9,,ELO,Starting and Shutting Down Learning Objectives
1,2,9,52552,Page,Starting and Shutting Down Learning Objectives
0,3,9,,ELO,"Start Procedures Warnings, Cautions, & Notes"
1,3,9,52553,Page,"Start Procedures Warnings, Cautions, & Notes"
2,3,9,52554,Page,"Start Procedures Warnings, Cautions, & Notes 2"
0,4,9,,ELO,Start Procedures
1,4,9,52555,Page,Start Procedures
0,5,9,,ELO,Engine Monitor Overview
1,5,9,52556,Page,Engine Monitor Overview
0,6,9,,ELO,Engine Monitor Icons
1,6,9,52557,Page,Engine Monitor Icons
0,7,9,,ELO,System Faults
1,7,9,52558,Page,System Faults
0,8,9,,ELO,A.M.A / S.A.F.E. Mode
1,8,9,52559,Page,A.M.A / S.A.F.E. Mode
0,9,9,,ELO,Winterizing Engines
1,9,9,52657,Page,Winterizing Preparation
0,10,9,,ELO,Winterization Procedure
1,10,9,52560,Page,Winterization Procedure
0,11,9,,ELO,Vessel System Monitor (VSM)
1,11,9,52561,Page,Vessel System Monitor (VSM)
0,12,9,,ELO,"Shutdown Procedures Warnings, Cautions, & Notes"
1,12,9,52562,Page,"Shutdown Procedures Warnings, Cautions, & Notes"
0,13,9,,ELO,Shutdown Procedure
1,13,9,52563,Page,Shutdown Procedure
0,14,9,,ELO,Checks On Learning
1,14,9,52564,Page,Question 1 of 6
2,14,9,52565,Page,Question 2 of 6
3,14,9,52567,Page,Question 3 of 6
4,14,9,52566,Page,Question 4 of 6
5,14,9,52568,Page,Question 5 of 6
6,14,9,52569,Page,Question: 6 of 6
0,0,10,,TLO,Trailering
0,1,10,52570,Page,Trailering
0,2,10,,ELO,Trailering Learning Objectives
1,2,10,52571,Page,Trailering Learning Objectives
0,3,10,,ELO,Transport by Trailer
1,3,10,52656,Page,Transport by Trailer
0,4,10,,ELO,Attaching the Trailer Procedure
1,4,10,52572,Page,Attaching the Trailer Procedure
0,5,10,,ELO,Preparing for Transport Procedure
1,5,10,52573,Page,Preparing for Transport Procedure
0,6,10,,ELO,Detaching a Trailer Procedure
1,6,10,52574,Page,Detaching a Trailer Procedure
0,7,10,,ELO,Checks On Learning
1,7,10,52575,Page,Question: 1 of 3
2,7,10,52577,Page,Question: 2 of 3
3,7,10,52576,Page,Question: 3 of 3
0,0,11,,TLO,Preparing for Operations
0,1,11,52578,Page,Preparing for Operations
0,2,11,,ELO,Preparing for Operations Learning Objectives
1,2,11,52579,Page,Preparing for Operations Learning Objectives
0,3,11,,ELO,Preparing to Launch Procedure
1,3,11,52581,Page,Preparing to Launch Procedure
0,4,11,,ELO,"Loading Warnings, Cautions, & Notes"
1,4,11,52580,Page,"Loading Warnings, Cautions, & Notes"
2,4,11,57106,Page,"Loading Warnings, Cautions, & Notes"
0,5,11,,ELO,Checks On Learning
1,5,11,52584,Page,Question: 1 of 5
2,5,11,52586,Page,Question: 2 of 5
3,5,11,52585,Page,Question: 3 of 5
4,5,11,52588,Page,Question: 4 of 5
5,5,11,52589,Page,Question: 5 of 5
0,0,12,,TLO,Basic Operations
0,1,12,52590,Page,Basic Operations
0,2,12,,ELO,Basic Operations Objectives
1,2,12,52591,Page,Basic Operations Objectives
0,3,12,,ELO,Operation Underway Procedure
1,3,12,52598,Page,Operation Underway Procedure
0,4,12,,ELO,Trimming Engines Procedure
1,4,12,52592,Page,Trimming Engines Procedure
0,5,12,,ELO,Docking Procedure
1,5,12,52594,Page,Docking Procedure
0,6,12,,ELO,Casting Off Procedure
1,6,12,52593,Page,Casting Off Procedure
0,7,12,,ELO,Selecting an Anchor Site
1,7,12,52599,Page,Selecting an Anchor Site
0,8,12,,ELO,Preparing to Anchor Procedure
1,8,12,52595,Page,Preparing to Anchor Procedure
0,9,12,,ELO,Dropping Anchor Procedure
1,9,12,52596,Page,Dropping Anchor Procedure
0,10,12,,ELO,Weighing Anchor Procedure
1,10,12,52597,Page,Weighing Anchor Procedure
0,11,12,,ELO,Checks On Learning
1,11,12,52600,Page,Question 1 of 6
2,11,12,52601,Page,Question 2 of 6
3,11,12,52602,Page,Question 3 of 6
4,11,12,52605,Page,Question 4 of 6
5,11,12,52603,Page,Question 5 of 6
6,11,12,52604,Page,Question 6 of 6
0,0,13,,TLO,Advanced Operations
0,1,13,52606,Page,Advanced Operations
0,2,13,,ELO,Advanced Operations Objectives
1,2,13,52608,Page,Advanced Operations Objectives
0,3,13,,ELO,Dive Platform
1,3,13,52607,Page,"Dive Platform Warnings, Cautions, & Notes"
2,3,13,52609,Page,Lowering and Raising the Dock Platform Procedure
0,4,13,,ELO,Towing Another Vessel
1,4,13,52610,Page,"Towing Another Vessel Warnings, Cautions, & Notes"
2,4,13,52611,Page,Towing Another Vessel Procedure
0,5,13,,ELO,Cabin Enclosure Assembly
1,5,13,52612,Page,"Cabin Enclosure Assembly Warnings, Cautions, & Notes"
2,5,13,52613,Page,Cabin Enclosure Assembly Installation Procedure
3,5,13,52614,Page,Cabin Enclosure Assembly Removal Procedure
0,6,13,,ELO,Checks On Learning
1,6,13,52615,Page,Question: 1 of 4
2,6,13,52616,Page,Question: 2 of 4
3,6,13,52617,Page,Question: 3 of 4
4,6,13,52618,Page,Question: 4 of 4
0,0,14,,TLO,After Operations
0,1,14,52619,Page,After Operations
0,2,14,,ELO,After Operations Objectives
1,2,14,52620,Page,After Operations Objectives
0,3,14,,ELO,Recovery by Trailer
1,3,14,52623,Page,"Recovery by Trailer Warnings, Cautions & Notes"
2,3,14,52621,Page,Recovery by Trailer Procedure
0,4,14,,ELO,Preparing for Long Term Storage
1,4,14,52624,Page,"Preparing for Long Term Storage Warnings, Cautions, & Notes"
2,4,14,52622,Page,Preparing for Long Term Storage Procedure
0,5,14,,ELO,Checks On Learning
1,5,14,52625,Page,Question 1 of 3
2,5,14,52627,Page,Question 2 of 3
3,5,14,52626,Page,Question 3 of 3
0,0,15,,TLO,Emergency Procedures - Starting
0,1,15,52628,Page,Emergency Procedures - Starting
0,2,15,,ELO,Emergency Procedures - Starting Objectives
